nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves
Pregunta AA37A.21 ¿Habla usted inglés?,1,C,aa37a_21,aa37a_21,"1...3,8,9"
Pregunta AA37B.21 ¿Habla usted alguna lengua indígena?,1,C,aa37b_21,aa37b_21,"1,2,8,9"
Pregunta AA38A.21 ¿Asiste usted a servicios religiosos?,1,C,aa38a_21,aa38a_21,"1,2,8,9"
Pregunta AA38B.21 ¿Con qué frecuencia participa usted en las actividades organizadas por la iglesia?,1,C,aa38b_21,aa38b_21,"1...3,8,9"
Pregunta AA39.21 ¿Qué tan importante es la religión en su vida? ¿Diría que es...?,1,C,aa39_21,aa39_21,"1...3,8,9"
"Pregunta AA40.21 En los últimos 2 años, ¿ha hecho algún trabajo voluntario para organizaciones religiosas, educativas, de caridad o para la comunidad?",1,C,aa40_21,aa40_21,"1,2,8,9"
"Pregunta AA41.1.21 En los últimos 2 años, ¿como cuántas horas le dedicó usted a ese trabajo voluntario? - HORAS",4,C,aa41_1_21,aa41_1_21,"0001...0060,8888,9999"
"Pregunta AA41.2.21 En los últimos 2 años, ¿como cuántas horas le dedicó usted a ese trabajo voluntario? - PERIODO",1,C,aa41_2_21,aa41_2_21,"1...4,8,9"
Pregunta AA42.21 ¿Diría usted que fueron...?,1,C,aa42_21,aa42_21,"1...3,8,9"
"Pregunta AA43.21 A continuación, le voy a mostrar unas figuras de cuerpo",1,C,aa43_21,aa43_21,"1,2"
Pregunta AA43A.21 ¿Qué figura considera que se parece a usted en este momento?,1,C,aa43a_21,aa43a_21,"A...R,7...9"
"Pregunta AA43B.21 Ahora piense por favor cuando usted tenía 50 años, ¿qué figura considera que se parece más a usted a esa edad?",1,C,aa43b_21,aa43b_21,"A...R,6...9"
"Pregunta AA43C.21 Ahora piense por favor cuando usted tenía 20 años, ¿qué figura considera que se parece más a usted a esa edad?",1,C,aa43c_21,aa43c_21,"A...R,7...9"
Pregunta AA44A.21 ¿Falleció alguno de sus hijos(as)?,1,C,aa44a_21,aa44a_21,"1,2,8,9"
Pregunta AA44B.21 ¿Ocurrió esto a causa del COVID-19?,1,C,aa44b_21,aa44b_21,"1,2,8,9"
Pregunta AA44A.1.21 ¿En qué año(s)? - 2011,1,C,aa44a_1_21,aa44a_1_21,"0,1"
Pregunta AA44A.2.21 ¿En qué año(s)? - 2012,1,C,aa44a_2_21,aa44a_2_21,"0,1"
Pregunta AA44A.3.21 ¿En qué año(s)? - 2013,1,C,aa44a_3_21,aa44a_3_21,"0,1"
Pregunta AA44A.4.21 ¿En qué año(s)? - 2014,1,C,aa44a_4_21,aa44a_4_21,"0,1"
Pregunta AA44A.5.21 ¿En qué año(s)? - 2015,1,C,aa44a_5_21,aa44a_5_21,"0,1"
Pregunta AA44A.6.21 ¿En qué año(s)? - 2016,1,C,aa44a_6_21,aa44a_6_21,"0,1"
Pregunta AA44A.7.21 ¿En qué año(s)? - 2017,1,C,aa44a_7_21,aa44a_7_21,"0,1"
Pregunta AA44A.8.21 ¿En qué año(s)? - 2018,1,C,aa44a_8_21,aa44a_8_21,"0,1"
Pregunta AA44A.9.21 ¿En qué año(s)? - 2019,1,C,aa44a_9_21,aa44a_9_21,"0,1"
Pregunta AA44A.10.21 ¿En qué año(s)? - 2020,1,C,aa44a_10_21,aa44a_10_21,"0,1"
Pregunta AA44A.11.21 ¿En qué año(s)? - 2021,1,C,aa44a_11_21,aa44a_11_21,"0,1"
Pregunta AA44C.21 ¿Se hizo cargo de cuidar a algún familiar enfermo?,1,C,aa44c_21,aa44c_21,"1,2,8,9"
Pregunta AA44D.21 ¿Ocurrió esto a causa del COVID-19?,1,C,aa44d_21,aa44d_21,"1,2,8,9"
Pregunta AA44C.1.21 ¿En qué año(s)? - 2011,1,C,aa44c_1_21,aa44c_1_21,"0,1"
Pregunta AA44C.2.21 ¿En qué año(s)? - 2012,1,C,aa44c_2_21,aa44c_2_21,"0,1"
Pregunta AA44C.3.21 ¿En qué año(s)? - 2013,1,C,aa44c_3_21,aa44c_3_21,"0,1"
Pregunta AA44C.4.21 ¿En qué año(s)? - 2014,1,C,aa44c_4_21,aa44c_4_21,"0,1"
Pregunta AA44C.5.21 ¿En qué año(s)? - 2015,1,C,aa44c_5_21,aa44c_5_21,"0,1"
Pregunta AA44C.6.21 ¿En qué año(s)? - 2016,1,C,aa44c_6_21,aa44c_6_21,"0,1"
Pregunta AA44C.7.21 ¿En qué año(s)? - 2017,1,C,aa44c_7_21,aa44c_7_21,"0,1"
Pregunta AA44C.8.21 ¿En qué año(s)? - 2018,1,C,aa44c_8_21,aa44c_8_21,"0,1"
Pregunta AA44C.9.21 ¿En qué año(s)? - 2019,1,C,aa44c_9_21,aa44c_9_21,"0,1"
Pregunta AA44C.10.21 ¿En qué año(s)? - 2020,1,C,aa44c_10_21,aa44c_10_21,"0,1"
Pregunta AA44C.11.21 ¿En qué año(s)? - 2021,1,C,aa44c_11_21,aa44c_11_21,"0,1"
"Pregunta AA45.21 ¿Ocurrió algún desastre, como un huracán, terremoto, tornado, inundación, incendio, que afectó su vivienda?",1,C,aa45_21,aa45_21,"1,2,8,9"
Pregunta AA45.1.21 ¿En qué año(s)? - 2011,1,C,aa45_1_21,aa45_1_21,"0,1"
Pregunta AA45.2.21 ¿En qué año(s)? - 2012,1,C,aa45_2_21,aa45_2_21,"0,1"
Pregunta AA45.3.21 ¿En qué año(s)?-  2013,1,C,aa45_3_21,aa45_3_21,"0,1"
Pregunta AA45.4.21 ¿En qué año(s)? - 2014,1,C,aa45_4_21,aa45_4_21,"0,1"
Pregunta AA45.5.21 ¿En qué año(s)?-  2015,1,C,aa45_5_21,aa45_5_21,"0,1"
Pregunta AA45.6.21 ¿En qué año(s)? - 2016,1,C,aa45_6_21,aa45_6_21,"0,1"
Pregunta AA45.7.21 ¿En qué año(s)? - 2017,1,C,aa45_7_21,aa45_7_21,"0,1"
Pregunta AA45.8.21 ¿En qué año(s)? - 2018,1,C,aa45_8_21,aa45_8_21,"0,1"
Pregunta AA45.9.21 ¿En qué año(s)? - 2019,1,C,aa45_9_21,aa45_9_21,"0,1"
Pregunta AA45.10.21 ¿En qué año(s)? - 2020,1,C,aa45_10_21,aa45_10_21,"0,1"
Pregunta AA45.11.21 ¿En qué año(s)? - 2021,1,C,aa45_11_21,aa45_11_21,"0,1"
"Pregunta AA46.21 ¿Sufrió algún accidente, fue víctima de un crimen, o algún otro evento que afectó su salud o situación familiar?",1,C,aa46_21,aa46_21,"1,2,8,9"
Pregunta AA46.1.21 ¿En qué año(s)? - 2011,1,C,aa46_1_21,aa46_1_21,"0,1"
Pregunta AA46.2.21 ¿En qué año(s)? - 2012,1,C,aa46_2_21,aa46_2_21,"0,1"
Pregunta AA46.3.21 ¿En qué año(s)? - 2013,1,C,aa46_3_21,aa46_3_21,"0,1"
Pregunta AA46.4.21 ¿En qué año(s)? - 2014,1,C,aa46_4_21,aa46_4_21,"0,1"
Pregunta AA46.5.21 ¿En qué año(s)? - 2015,1,C,aa46_5_21,aa46_5_21,"0,1"
Pregunta AA46.6.21 ¿En qué año(s)? - 2016,1,C,aa46_6_21,aa46_6_21,"0,1"
Pregunta AA46.7.21 ¿En qué año(s)? - 2017,1,C,aa46_7_21,aa46_7_21,"0,1"
Pregunta AA46.8.21 ¿En qué año(s)? - 2018,1,C,aa46_8_21,aa46_8_21,"0,1"
Pregunta AA46.9.21 ¿En qué año(s)? - 2019,1,C,aa46_9_21,aa46_9_21,"0,1"
Pregunta AA46.10.21 ¿En qué año(s)? - 2020,1,C,aa46_10_21,aa46_10_21,"0,1"
Pregunta AA46.11.21 ¿En qué año(s)? - 2021,1,C,aa46_11_21,aa46_11_21,"0,1"
"Pregunta AA47.21 ¿Tuvo alguna pérdida, como por salud o su empleo o el de sus hijos o cónyuge, que afectó su situación financiera?",1,C,aa47_21,aa47_21,"1,2,8,9"
Pregunta AA47A.21 ¿Ocurrió esto a causa del COVID-19?,1,C,aa47a_21,aa47a_21,"1,2,8,9"
Pregunta AA47.1.21 ¿En qué año(s)? - 2011,1,C,aa47_1_21,aa47_1_21,"0,1,8,9"
Pregunta AA47.2.21 ¿En qué año(s)? - 2012,1,C,aa47_2_21,aa47_2_21,"0,1,8,9"
Pregunta AA47.3.21 ¿En qué año(s)? - 2013,1,C,aa47_3_21,aa47_3_21,"0,1,8,9"
Pregunta AA47.4.21 ¿En qué año(s)? - 2014,1,C,aa47_4_21,aa47_4_21,"0,1,8,9"
Pregunta AA47.5.21 ¿En qué año(s)? - 2015,1,C,aa47_5_21,aa47_5_21,"0,1,8,9"
Pregunta AA47.6.21 ¿En qué año(s)? - 2016,1,C,aa47_6_21,aa47_6_21,"0,1,8,9"
Pregunta AA47.7.21 ¿En qué año(s)? - 2017,1,C,aa47_7_21,aa47_7_21,"0,1,8,9"
Pregunta AA47.8.21 ¿En qué año(s)? - 2018,1,C,aa47_8_21,aa47_8_21,"0,1,8,9"
Pregunta AA47.9.21 ¿En qué año(s)? - 2019,1,C,aa47_9_21,aa47_9_21,"0,1,8,9"
Pregunta AA47.10.21 ¿En qué año(s)? - 2020,1,C,aa47_10_21,aa47_10_21,"0,1,8,9"
Pregunta AA47.11.21 ¿En qué año(s)? - 2021,1,C,aa47_11_21,aa47_11_21,"0,1,8,9"
"Pregunta C1.21 Ahora tengo algunas preguntas sobre su salud, ¿diría usted que su salud es...?",1,C,c1_21,c1_21,"1...5,8,9"
"Pregunta C2A.21 Comparando su salud con la de hace dos años, ¿diría usted que su salud ahora está...?",1,C,c2a_21,c2a_21,"1...5,8,9"
"Pregunta C3A.21 Comparado con otras personas de su edad, ¿diría usted que actualmente su salud es...?",1,C,c3a_21,c3a_21,"1...3,8,9"
"Pregunta C3B.21 Durante los dos últimos años, ¿le ha atendido un doctor o personal médico?",1,C,c3b_21,c3b_21,"1,2,8,9"
Pregunta C4.21 ¿Alguna vez le ha dicho un doctor o personal médico que usted tiene hipertensión o presión alta?,1,C,c4_21,c4_21,"1,2,8,9"
Pregunta C5.21 ¿Está usted tomando ahora algún medicamento para bajar la presión?,1,C,c5_21,c5_21,"1,2,8,9"
Pregunta C6.21 ¿Alguna vez le ha dicho un doctor o personal médico que usted tiene diabetes?,1,C,c6_21,c6_21,"1,2,8,9"
Pregunta C7.21 ¿Está usted tomando ahora alguna medicina oralmente para controlar su diabetes?,1,C,c7_21,c7_21,"1,2,8,9"
Pregunta C8.21 ¿Está usted usando ahora inyecciones o bomba de insulina?,1,C,c8_21,c8_21,"1,2,8,9"
Pregunta C9.21 ¿Sigue una dieta especial para controlar su diabetes?,1,C,c9_21,c9_21,"1,2,8,9"
Pregunta C10.21 ¿En general ahora está su diabetes bajo control?,1,C,c10_21,c10_21,"1,2,8,9"
Pregunta C11.1.21 ¿Con qué frecuencia se le mide el nivel de azúcar en la sangre o en la orina? - VECES,2,C,c11_1_21,c11_1_21,"00...30,88,99"
Pregunta C11.2.21 ¿Con qué frecuencia se le mide el nivel de azúcar en la sangre o en la orina? - PERIODO,1,C,c11_2_21,c11_2_21,"1..3,5,8,9"
Pregunta C12.21 ¿Alguna vez le ha dicho un doctor o personal médico que usted tiene cáncer?,1,C,c12_21,c12_21,"1,2,8,9"
"Pregunta C13.21 En total, ¿cuántos cánceres en distintos lugares u órganos ha tenido usted?",2,C,c13_21,c13_21,"01...05,88,99"
Pregunta C14.01.21 ¿Qué tipo de cáncer? - Mama,1,C,c14_01_21,c14_01_21,"0,1"
Pregunta C14.02.21 ¿Qué tipo de cáncer? - Cervical/cérvix,1,C,c14_02_21,c14_02_21,"0,1"
Pregunta C14.03.21 ¿Qué tipo de cáncer? - Endometrio/útero,1,C,c14_03_21,c14_03_21,"0,1"
Pregunta C14.04.21 ¿Qué tipo de cáncer? - Hígado,1,C,c14_04_21,c14_04_21,"0,1"
Pregunta C14.05.21 ¿Qué tipo de cáncer? - Estómago,1,C,c14_05_21,c14_05_21,"0,1"
Pregunta C14.06.21 ¿Qué tipo de cáncer? - Páncreas,1,C,c14_06_21,c14_06_21,"0,1"
Pregunta C14.07.21 ¿Qué tipo de cáncer? - Próstata,1,C,c14_07_21,c14_07_21,"0,1"
Pregunta C14.08.21 ¿Qué tipo de cáncer? - Colon/recto,1,C,c14_08_21,c14_08_21,"0,1"
Pregunta C14.09.21 ¿Qué tipo de cáncer? - Pulmón,1,C,c14_09_21,c14_09_21,"0,1"
Pregunta C14.10.21 ¿Qué tipo de cáncer? - OTROS,1,C,c14_10_21,c14_10_21,"0,1"
Pregunta C14.88.21 ¿Qué tipo de cáncer? - NO RESPONDE,1,C,c14_88_21,c14_88_21,"0,1"
Pregunta C14.99.21 ¿Qué tipo de cáncer? - NO SABE,1,C,c14_99_21,c14_99_21,"0,1"
"Pregunta C15.21 En los últimos dos años, ¿ha consultado a un doctor o personal médico sobre su cáncer?",1,C,c15_21,c15_21,"1,2,8,9"
"Pregunta C16.1.21 Durante los últimos dos años, ¿usted recibió para su(s) cáncer(es) quimioterapia o medicamento?",1,C,c16_1_21,c16_1_21,"1,2,8,9"
"Pregunta C16.2.21 Durante los últimos dos años, ¿usted recibió para su(s) cáncer(es) cirugía o biopsia?",1,C,c16_2_21,c16_2_21,"1,2,8,9"
"Pregunta C16.3.21 Durante los últimos dos años, ¿usted recibió para su(s) cáncer(es) radiación o rayos X?",1,C,c16_3_21,c16_3_21,"1,2,8,9"
"Pregunta C16.4.21 Durante los últimos dos años, ¿usted recibió para su(s) cáncer(es) medicamentos o tratamiento para dolor?",1,C,c16_4_21,c16_4_21,"1,2,8,9"
"Pregunta C16.5.21 Durante los últimos dos años, ¿usted recibió para su(s) cáncer(es) medicamentos o tratamiento para síntomas (dolor, náusea, salpullidos)?",1,C,c16_5_21,c16_5_21,"1,2,8,9"
"Pregunta C16.7.21 Durante los últimos dos años, ¿usted recibió para su(s) cáncer(es) otro tratamiento?",1,C,c16_7_21,c16_7_21,"1,2,8,9"
"Pregunta C16.7A.21 Durante los últimos dos años, ¿usted recibió para su(s) cáncer(es) otro tratamiento? - ESPECIFICA",160,C,c16_7a_21,,"A...Z,0...9"
Pregunta C17.21 ¿Está usted ahora recibiendo tratamiento para el cáncer?,1,C,c17_21,c17_21,"1,2,8,9"
Pregunta C18.1.21 ¿Como en qué año o a qué edad le diagnosticaron su cáncer (más reciente)? - AÑO,4,C,c18_1_21,c18_1_21,"1975...2021,8888,9999"
Pregunta C18.2.21 ¿Como en qué año o a qué edad le diagnosticaron su cáncer (más reciente)? - EDAD,3,C,c18_2_21,,023...089
"Pregunta C19.21 ¿Alguna vez le ha dicho un doctor o personal médico que usted tiene alguna enfermedad respiratoria, tal como asma o enfisema?",1,C,c19_21,c19_21,"1,2,8,9"
Pregunta C20A.21 ¿Está usted tomando ahora medicina u otro tratamiento para su enfermedad respiratoria?,1,C,c20a_21,c20a_21,"1,2,8,9"
Pregunta C20B.21 ¿Está recibiendo oxígeno para su enfermedad pulmonar?,1,C,c20b_21,c20b_21,"1,2,8,9"
Pregunta C21.21 ¿Esta condición le limita sus actividades normales tales como las labores del hogar o su trabajo?,1,C,c21_21,c21_21,"1,2,8,9"
"Pregunta C21A.21 De marzo de 2020 a la fecha, ¿le ha dicho un doctor o personal médico que usted tuvo o tiene COVID-19?",1,C,c21a_21,c21a_21,"1,2,8,9"
"Pregunta C21B.21 ¿Esta enfermedad le limita actualmente sus actividades normales, tales como las labores del hogar o su trabajo?",1,C,c21b_21,c21b_21,"1,2,8,9"
Pregunta C22A.21 ¿Alguna vez le ha dicho un doctor o personal médico que usted ha tenido un ataque/infarto al corazón?,1,C,c22a_21,c22a_21,"1,2,8,9"
Pregunta C22B1.21 ¿Cómo en qué año o a qué edad tuvo su ataque/infarto al corazón (más reciente)? - AÑO,4,C,c22b1_21,c22b1_21,"1960...2021,8888,9999"
Pregunta C22B2.21 ¿Cómo en qué año o a qué edad tuvo su ataque/infarto al corazón (más reciente)? - EDAD,3,C,c22b2_21,,014...090
Pregunta C23.21 ¿Está usted tomando ahora medicinas para su enfermedad del corazón?,1,C,c23_21,c23_21,"1,2,8,9"
"Pregunta C25A.21 ¿Este problema del corazón le limita sus actividades normales, tales como las labores del hogar o su trabajo?",1,C,c25a_21,c25a_21,"1,2,8,9"
"Pregunta C25B.21 ¿Alguna vez le ha dicho un doctor o personal médico que usted ha tenido: falla cardíaca/insuficiencia cardíaca/falla congestiva del corazón, arritmia, o angina?",1,C,c25b_21,c25b_21,"1,2,8,9"
"Pregunta C26.21 ¿Alguna vez le ha dicho un doctor o personal médico que usted ha tenido una embolia cerebral, derrame cerebral o isquemia cerebral transitoria?",1,C,c26_21,c26_21,"1,2,8,9"
"Pregunta C27.1.21 Debido a la embolia, ¿tiene usted debilidad en los brazos y/o las piernas o ha disminuido su capacidad de moverlas o usarlas?",1,C,c27_1_21,c27_1_21,"1,2,8,9"
"Pregunta C27.2.21 Debido a la embolia, ¿tiene usted dificultad en hablar o en comer?",1,C,c27_2_21,c27_2_21,"1,2,8,9"
"Pregunta C27.3.21 Debido a la embolia, ¿tiene usted dificultad con la vista o visión?",1,C,c27_3_21,c27_3_21,"1,2,8,9"
"Pregunta C27.4.21 Debido a la embolia, ¿tiene usted dificultad en pensar o en decir lo que quiere?",1,C,c27_4_21,c27_4_21,"1,2,8,9"
Pregunta C28.21 ¿Está usted tomando ahora medicinas debido a la embolia cerebral o por complicaciones de esta?,1,C,c28_21,c28_21,"1,2,8,9"
Pregunta C29.21 ¿Está usted recibiendo terapia o rehabilitación a causa de la embolia o las complicaciones que resultaron de esta?,1,C,c29_21,c29_21,"1,2,8,9"
Pregunta C30.1.21 ¿Como en qué año o a qué edad tuvo su embolia (más reciente)? - AÑO,4,C,c30_1_21,c30_1_21,"1961...2021,8888,9999"
Pregunta C30.2.21 ¿Como en qué año o a qué edad tuvo su embolia (más reciente)? - EDAD,3,C,c30_2_21,,012...090
Pregunta C31.21 ¿Esta embolia le ha limitado sus actividades normales tales como las labores del hogar o su trabajo?,1,C,c31_21,c31_21,"1,2,8,9"
Pregunta C32.21 ¿Alguna vez le ha dicho un doctor o personal médico que usted tiene artritis o reumatismo?,1,C,c32_21,c32_21,"1,2,8,9"
"Pregunta C33.21 ¿Siente dolor, rigidez o hinchazón de las articulaciones o coyunturas?",1,C,c33_21,c33_21,"1,2,8,9"
Pregunta C34.21 ¿Está tomando medicinas o está recibiendo otro tratamiento para su artritis o reumatismo?,1,C,c34_21,c34_21,"1,2,8,9"
"Pregunta C35.21 ¿Están limitadas a veces sus actividades normales, tales como las labores del hogar o su trabajo por la artritis o reumatismo?",1,C,c35_21,c35_21,"1,2,8,9"
"Pregunta C36.1.21 En los últimos dos años, ¿le ha dicho un doctor o personal médico que usted tenía infección del hígado?",1,C,c36_1_21,c36_1_21,"1,2,8,9"
"Pregunta C36.2.21 En los últimos dos años, ¿le ha dicho un doctor o personal médico que usted tenía infección del riñón?",1,C,c36_2_21,c36_2_21,"1,2,8,9"
"Pregunta C36.3.21 En los últimos dos años, ¿le ha dicho un doctor o personal médico que usted tenía tuberculosis?",1,C,c36_3_21,c36_3_21,"1,2,8,9"
"Pregunta C36.4.21 En los últimos dos años, ¿le ha dicho un doctor o personal médico que usted tenía neumonía?",1,C,c36_4_21,c36_4_21,"1,2,8,9"
"Pregunta C36.5.21 En los últimos dos años, ¿le ha dicho un doctor o personal médico que usted tenía herpes o herpes zóster?",1,C,c36_5_21,c36_5_21,"1,2,8,9"
Pregunta C37.21 ¿Se ha caído en los últimos dos años?,1,C,c37_21,c37_21,"1,2,8,9"
Pregunta C38.21 ¿Como cuántas veces ha ocurrido esto?,2,C,c38_21,c38_21,01...99
Pregunta C39.21 ¿Se lastimó en esa(s) caída(s) de tal manera que necesitó tratamiento médico?,1,C,c39_21,c39_21,"1,2,8,9"
"Pregunta C40B.21 En los últimos dos años, ¿se ha fracturado algún hueso?",1,C,c40b_21,c40b_21,"1...4,8,9"
Pregunta C41.21 ¿Normalmente usa usted lentes?,1,C,c41_21,c41_21,"1,2,8,9"
Pregunta C42.21 ¿Cómo es su visión (con lentes)? ¿es...?,1,C,c42_21,c42_21,"1...6,8,9"
Pregunta C43.21 ¿Normalmente usa usted audífono o aparato auditivo?,1,C,c43_21,c43_21,"1,2,8,9"
Pregunta C44.21 ¿Cómo es su alcance de oído/audición (con aparato si normalmente lo usa)...?,1,C,c44_21,c44_21,"1...6,8,9"
Pregunta C45.21 ¿Sufre de dolor físico a menudo?,1,C,c45_21,c45_21,"1,2,8,9"
Pregunta C46.21 ¿Cómo es el dolor físico la mayor parte del tiempo...?,1,C,c46_21,c46_21,"1...3,8,9"
"Pregunta C47.21 ¿Este dolor le limita sus actividades normales, como las labores del hogar o el trabajo?",1,C,c47_21,c47_21,"1,2,8,9"
"Pregunta C48A.21 En los últimos dos años, ¿ha tenido alguna de las siguientes pruebas o procedimientos médicos? - Colonoscopia, sigmoidoscopia u otra prueba para la detección del cáncer de colon",1,C,c48a_21,c48a_21,"1,2,8,9"
"Pregunta C48B.21 En los últimos dos años, ¿ha tenido alguna de las siguientes pruebas o procedimientos médicos? - Análisis de sangre para el colesterol",1,C,c48b_21,c48b_21,"1,2,8,9"
"Pregunta C48C.21 En los últimos dos años, ¿ha tenido alguna de las siguientes pruebas o procedimientos médicos? - Prueba para la tuberculosis",1,C,c48c_21,c48c_21,"1,2,8,9"
"Pregunta C48D.21 En los últimos dos años, ¿ha tenido alguna de las siguientes pruebas o procedimientos médicos? - Prueba para la diabetes",1,C,c48d_21,c48d_21,"1,2,8,9"
"Pregunta C48E.21 En los últimos dos años, ¿ha tenido alguna de las siguientes pruebas o procedimientos médicos? - Prueba para la hipertensión o presión alta",1,C,c48e_21,c48e_21,"1,2,8,9"
"Pregunta C48F.21 En los últimos dos años, ¿ha tenido alguna de las siguientes pruebas o procedimientos médicos? - Vacuna contra la influenza",1,C,c48f_21,c48f_21,"1,2,8,9"
"Pregunta C48G.21 En los últimos dos años, ¿ha tenido alguna de las siguientes pruebas o procedimientos médicos? - Vacuna contra la neumonía",1,C,c48g_21,c48g_21,"1,2,8,9"
"Pregunta C48G.1.21 En los últimos dos años, ¿ha tenido alguna de las siguientes pruebas o procedimientos médicos? - Vacuna contra COVID-19",1,C,c48g_1_21,c48g_1_21,"1,2,8,9"
"Pregunta C48H.21 En los últimos dos años, ¿Se examina los senos cada mes para detectar nudos o bultos?",1,C,c48h_21,c48h_21,"1...3,8,9"
"Pregunta C48I.21 En los últimos dos años, ¿Le han hecho una mamografía o una radiografía de los senos para detectar cáncer?",1,C,c48i_21,c48i_21,"1...3,8,9"
"Pregunta C48J.21 En los últimos dos años, ¿Le han hecho una prueba Papanicolaou para cáncer de la matriz?",1,C,c48j_21,c48j_21,"1...3,8,9"
"Pregunta C48K.21 ¿Qué edad tenía usted cuando terminó de pasar por su menopausia, es decir, su última menstruación o regla?",3,C,c48k_21,c48k_21,"040...060,888,997,999"
Pregunta C48K1.21 ¿Tenía usted...?,1,C,c48k1_21,c48k1_21,"1...3,8,9"
"Pregunta C48L.21 ¿Le han hecho una histerectomía, es decir una cirugía para quitarle la matriz (útero) y ovarios, o la matriz (útero) solamente?",1,C,c48l_21,c48l_21,"1,2,8,9"
"Pregunta C48M.21 En los dos últimos años, ¿le han hecho una prueba de tacto rectal o prueba de sangre para cáncer de próstata?",1,C,c48m_21,c48m_21,"1...3,8,9"
"Pregunta C49.1.21 Estas preguntas se refieren a cómo se ha sentido usted durante la semana pasada. Para cada pregunta, por favor dígame, ¿la mayor parte del tiempo se ha sentido deprimido?",1,C,c49_1_21,c49_1_21,"1,2,8,9"
"Pregunta C49.2.21 Estas preguntas se refieren a cómo se ha sentido usted durante la semana pasada. Para cada pregunta, por favor dígame, ¿la mayor parte del tiempo ha sentido que todo lo que hacía era un esfuerzo?",1,C,c49_2_21,c49_2_21,"1,2,8,9"
"Pregunta C49.3.21 Estas preguntas se refieren a cómo se ha sentido usted durante la semana pasada. Para cada pregunta, por favor dígame, ¿la mayor parte del tiempo ha sentido que su sueño era intranquilo?",1,C,c49_3_21,c49_3_21,"1,2,8,9"
"Pregunta C49.4.21 Estas preguntas se refieren a cómo se ha sentido usted durante la semana pasada. Para cada pregunta, por favor dígame, ¿la mayor parte del tiempo se ha sentido feliz?",1,C,c49_4_21,c49_4_21,"1,2,8,9"
"Pregunta C49.5.21 Estas preguntas se refieren a cómo se ha sentido usted durante la semana pasada. Para cada pregunta, por favor dígame, ¿la mayor parte del tiempo se ha sentido solo?",1,C,c49_5_21,c49_5_21,"1,2,8,9"
"Pregunta C49.6.21 Estas preguntas se refieren a cómo se ha sentido usted durante la semana pasada. Para cada pregunta, por favor dígame, ¿la mayor parte del tiempo ha sentido que disfrutaba de la vida?",1,C,c49_6_21,c49_6_21,"1,2,8,9"
"Pregunta C49.7.21 Estas preguntas se refieren a cómo se ha sentido usted durante la semana pasada. Para cada pregunta, por favor dígame, ¿la mayor parte del tiempo se ha sentido triste?",1,C,c49_7_21,c49_7_21,"1,2,8,9"
"Pregunta C49.8.21 Estas preguntas se refieren a cómo se ha sentido usted durante la semana pasada. Para cada pregunta, por favor dígame, ¿la mayor parte del tiempo se ha sentido cansado?",1,C,c49_8_21,c49_8_21,"1,2,8,9"
"Pregunta C49.9.21 Estas preguntas se refieren a cómo se ha sentido usted durante la semana pasada. Para cada pregunta, por favor dígame, ¿la mayor parte del tiempo ha sentido que tenía mucha energía?",1,C,c49_9_21,c49_9_21,"1,2,8,9"
"Pregunta C50A.21 En los últimos dos años, ¿Alguna vez se sintió usted triste, bajo(a) de ánimos, o deprimido(a) por dos o más semanas seguidas?",1,C,c50a_21,c50a_21,"1,2,8,9"
"Pregunta C50B.21 En promedio durante los últimos dos años, ¿ha hecho ejercicio o trabajo físico pesado tres veces por semana o más?",1,C,c50b_21,c50b_21,"1,2,8,9"
Pregunta C51.21 ¿Alguna vez ha fumado cigarros?,1,C,c51_21,c51_21,"1,2,8,9"
Pregunta C52.1.21 ¿Cuántos años tenía cuando comenzó a fumar? - Años de edad,3,C,c52_1_21,c52_1_21,"012...085,888,999"
Pregunta C52.2.21 ¿Cuántos años tenía cuando comenzó a fumar? - Año que comenzó a fumar,4,C,c52_2_21,,1951...2021
Pregunta C52.3.21 ¿Cuántos años tenía cuando comenzó a fumar? - Comenzó a fumar hace años,2,C,c52_3_21,,03...75
Pregunta C53.21 ¿Fumó usted cigarros en los últimos dos años?,1,C,c53_21,c53_21,"1,2,8,9"
Pregunta C54.21 ¿Fuma cigarros actualmente?,1,C,c54_21,c54_21,"1,2,8,9"
Pregunta C55.21 ¿Qué tan a menudo fuma usted?,1,C,c55_21,c55_21,"1,2,8,9"
Pregunta C56.21 ¿Cuántos cigarros fuma usted normalmente al día?,2,C,c56_21,c56_21,"01...60,87,88,99"
"Pregunta C57.21 Cuando más fumaba usted, ¿cuántos cigarros se fumaba en un día?",2,C,c57_21,c57_21,"00...80,87,88,99"
Pregunta C58.1.21 ¿Hace cuántos años dejó de fumar? - Hace años,2,C,c58_1_21,c58_1_21,"01...72,88,99"
Pregunta C58.2.21 ¿Hace cuántos años dejó de fumar? - Año que dejó de fumar,4,C,c58_2_21,,1962...2021
Pregunta C58.3.21 ¿Hace cuántos años dejó de fumar? - Edad en que dejó de fumar,3,C,c58_3_21,,012...099
"Pregunta C59A.21 ¿Actualmente toma bebidas alcohólicas como cerveza, vino, licor o pulque?",1,C,c59a_21,c59a_21,"1...3,8,9"
"Pregunta C59B.21 En los últimos tres meses, ¿como cuántos días por semana ha tomado alguna bebida alcohólica?",1,C,c59b_21,c59b_21,0...9
"Pregunta C59C.21 De los días en que tomó bebidas alcohólicas en los últimos tres meses, ¿como cuántas bebidas tomó por día?",2,C,c59c_21,c59c_21,"01...85,88,99"
